node_id,x_coord,y_coord,zone_id,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1,wkt_geom
471,432891.12426,4618950.20445,456,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432891.1 4618950)
472,431129.04071,4618575.09335,457,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431129 4618575)
473,430741.67836,4618671.6694,458,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430741.7 4618672)
474,431556.00657,4618636.90336,459,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431556 4618637)
475,430793.97783,4618177.2719,460,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430794 4618177)
476,431479.82415,4618405.74918,461,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431479.8 4618406)
477,431399.43307,4618095.26934,462,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431399.4 4618095)
478,431991.62431,4618385.38573,463,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431991.6 4618385)
479,431970.20606,4617995.81286,464,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431970.2 4617996)
480,432390.21091,4618418.36597,465,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432390.2 4618418)
481,432452.59557,4617980.86979,466,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432452.6 4617981)
482,432775.82663,4618422.08762,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432775.8 4618422)
483,433455.47891,4618641.75251,468,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433455.5 4618642)
484,430759.29016,4617732.04209,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430759.3 4617732)
485,431247.33496,4617697.88466,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431247.3 4617698)
486,430741.21648,4617305.09737,470,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430741.2 4617305)
487,431232.25616,4617289.44157,471,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431232.3 4617289)
488,431851.93861,4617577.61875,472,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431851.9 4617578)
489,432386.37106,4617500.49714,473,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432386.4 4617500)
490,430285.9392,4616955.47065,474,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430285.9 4616955)
491,430769.0719,4616875.80806,475,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430769.1 4616876)
492,431259.07781,4616878.57099,476,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431259.1 4616879)
493,431833.02585,4617151.67005,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431833 4617152)
494,431824.69078,4616937.99355,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431824.7 4616938)
495,431689.93807,4616661.25029,478,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431689.9 4616661)
496,431247.59143,4616221.70041,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431247.6 4616222)
497,432010.80838,4616332.20288,480,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432010.8 4616332)
498,432603.25703,4616688.88301,481,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432603.3 4616689)
499,433346.96234,4617398.4101,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433347 4617398)
500,432501.76558,4615969.33136,483,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432501.8 4615969)
501,433027.39258,4616007.51741,484,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433027.4 4616008)
502,432502.99599,4615386.84603,485,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432503 4615387)
503,433011.01834,4615266.11351,486,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433011 4615266)
504,433526.01533,4615512.4014799995,487,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433526 4615512)
505,429220.56145,4616614.53911,488,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429220.6 4616615)
506,429808.38925,4616427.11366,489,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429808.4 4616427)
507,430381.12704,4616254.30408,490,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430381.1 4616254)
508,430780.2634,4616276.01757,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430780.3 4616276)
509,430738.65358,4615549.16696,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430738.7 4615549)
510,431064.22208,4615397.45948,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431064.2 4615397)
